,link_stub,artist,title,sleeve,rlabel,rformat,country,release_dt,genre,style,rating,media,price,votes,haves,wants
Tina Brooks - True Blue,/sell/item/1244267034,Tina Brooks,True Blue,Near Mint (NM or M-),Blue Note,"Vinyl, LP, Album, Mono",US,1960-01-14,Jazz,Hard Bop,4.58,Very Good Plus (VG+),5000,33,91,679
Cliff Jordan* & John Gilmore - Blowing In From Chicago,/sell/item/1146903229,Cliff Jordan* & John Gilmore,Blowing In From Chicago,Very Good (VG),Blue Note,"Vinyl, LP, Album, Mono",US,1957-05-14,Jazz,Hard Bop,4.76,Very Good Plus (VG+),1650,17,83,493
Freddie Hubbard - Hub,/sell/item/1105531603,Freddie Hubbard,Hub,Good (G),Blue Note,"Vinyl, LP, Album, Stereo",US,1962-01-14,Jazz,Hard Bop,4.92,Very Good (VG),2225,12,74,309
Curtis Fuller - The Opener,/sell/item/1134421976,Curtis Fuller,The Opener,Very Good (VG),Blue Note,"Vinyl, LP, Album, Mono",US,1957-01-14,Jazz,Hard Bop,4.5,Very Good Plus (VG+),1400,16,68,385
Lee Morgan - Search For The New Land,/sell/item/1069322934,Lee Morgan,Search For The New Land,Very Good (VG),Blue Note,"Vinyl, LP, Album, Mono",US,1966-01-14,Jazz,Hard Bop,4.54,Very Good Plus (VG+),2000,59,361,752
Cannonball Adderley - Somethin' Else,/sell/item/1281156432,Cannonball Adderley,Somethin' Else,Very Good (VG),Blue Note,"Vinyl, LP, Album, Mono",US,1958-05-14,Jazz,"Bop, Hard Bop",4.7,Very Good (VG),645,194,1086,1716
Hank Mobley With Donald Byrd And Lee Morgan - Hank Mobley With Donald Byrd And Lee Morgan,/sell/item/786354043,Hank Mobley With Donald Byrd And Lee Morgan,Hank Mobley With Donald Byrd And Lee Morgan,Very Good (VG),Blue Note,"Vinyl, LP, Album, Mono",US,1957-01-14,Jazz,Hard Bop,4.57,Very Good (VG),1850,14,65,523
Miles Davis - Miles Davis And The Modern Jazz Giants,/sell/item/1096877814,Miles Davis,Miles Davis And The Modern Jazz Giants,Very Good Plus (VG+),Prestige,"Vinyl, LP, 16 ⅔ RPM, Compilation",US,1957-01-14,Jazz,"Cool Jazz, Hard Bop",4.5,Near Mint (NM or M-),1200,6,24,124
The Dave Bailey Sextet - Bash!,/sell/item/1022031958,The Dave Bailey Sextet,Bash!,Very Good Plus (VG+),Jazz Line (2),"Vinyl, LP, Album",US,1961-01-14,Jazz,Hard Bop,4.67,Very Good Plus (VG+),849,3,40,133
Les McCann & The Jazz Crusaders* - Jazz Waltz,/sell/item/347468496,Les McCann & The Jazz Crusaders*,Jazz Waltz,Very Good (VG),Pacific Jazz,"Vinyl, LP, Album, Mono",US,1963-01-14,"Jazz, Funk / Soul","Soul-Jazz, Hard Bop",4.0,Near Mint (NM or M-),1520,2,52,67
Joe Henderson - Page One,/sell/item/1212549164,Joe Henderson,Page One,Very Good (VG),Blue Note,"Vinyl, LP, Album, Mono",US,1963-01-14,Jazz,Hard Bop,4.61,Very Good Plus (VG+),1000,33,141,737
John Coltrane - A Love Supreme,/sell/item/1241905149,John Coltrane,A Love Supreme,Near Mint (NM or M-),Impulse!,"Vinyl, LP, Album, Stereo, Gatefold",US,1965-01-14,Jazz,"Free Jazz, Hard Bop, Modal",4.67,Near Mint (NM or M-),700,12,52,375
Eric Dolphy - Out To Lunch!,/sell/item/1086660038,Eric Dolphy,Out To Lunch!,Very Good Plus (VG+),Blue Note,"Vinyl, Album, Mono, LP",US,1964-08-14,Jazz,"Hard Bop, Free Jazz, Modal, Post Bop",4.82,Near Mint (NM or M-),1500,71,332,997
Sonny Rollins - Moving Out,/sell/item/592936244,Sonny Rollins,Moving Out,Near Mint (NM or M-),Prestige,"Vinyl, LP, Album, Repress, Mono",US,1958-01-14,Jazz,"Bop, Hard Bop",4.25,Near Mint (NM or M-),1500,4,32,69
Hank Mobley - Mobley's Message,/sell/item/1265210184,Hank Mobley,Mobley's Message,Very Good (VG),Prestige,"Vinyl, LP, Album",US,1956-01-14,Jazz,Hard Bop,4.5,Very Good Plus (VG+),1500,14,70,372
Freddie Redd Quintet - Shades Of Redd,/sell/item/826897248,Freddie Redd Quintet,Shades Of Redd,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1961-01-14,Jazz,Hard Bop,4.33,Near Mint (NM or M-),1500,15,76,276
Hank Mobley - Hank Mobley And His All Stars,/sell/item/1050442514,Hank Mobley,Hank Mobley And His All Stars,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1957-03-14,Jazz,Hard Bop,4.26,Very Good Plus (VG+),1500,19,92,338
Hank Mobley - Lee Morgan,/sell/item/1204352099,Hank Mobley,Lee Morgan,Very Good (VG),Blue Note,"Vinyl, LP, Album, Mono",US,1959-11-14,Jazz,Hard Bop,4.5,Very Good Plus (VG+),1499,18,68,481
Art Blakey & The Jazz Messengers - Like Someone In Love,/sell/item/1263706548,Art Blakey & The Jazz Messengers,Like Someone In Love,Near Mint (NM or M-),Blue Note,"Vinyl, LP, Album, Reissue, Stereo",US,1967-01-14,Jazz,Hard Bop,5.0,Near Mint (NM or M-),1485,4,24,39
Donald Byrd - Byrd Jazz,/sell/item/1165275802,Donald Byrd,Byrd Jazz,No Cover,Transition,"Vinyl, LP, Album",US,1956-01-14,Jazz,Hard Bop,4.45,Near Mint (NM or M-),1444,11,28,476
The Horace Silver Quintet & Trio* - Blowin' The Blues Away,/sell/item/1263707286,The Horace Silver Quintet & Trio*,Blowin' The Blues Away,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono, Microgroove",US,1959-10-14,Jazz,Hard Bop,4.62,Very Good Plus (VG+),1430,78,682,361
