Artist_Album,Label,Country,Format,Notes,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Curtis Fuller – The Opener,Blue Note – BLP 1567,US,"Vinyl, LP, Album, Mono","Recorded on June 16, 1957.",Jazz,1957,Hard Bop,"Rated 4.50 of 16 votes (68 have, 387 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,"$2,100.00"
Cliff Jordan* & John Gilmore – Blowing In From Chicago,Blue Note – BLP 1549,US,"Vinyl, LP, Album, Mono","Recorded on March 3, 1957.

The 1st original mono issue has:
- blue and white Blue Note Records - 47 West 63rd - New York 23 address on deep grooved labels (no ""Inc"" no ®),
- flat rim vinyl,
- RVG etched and P (wrongly called ""ear"") for Plastylite plant in the dead wax, both sides,
- Blue Note Records, 47 West 63rd St., New York 23 address on back-cover (no ""Inc.""),
- blank spine,
- laminated cover",Jazz,May 1957,Hard Bop,"Rated 4.76 of 17 votes (84 have, 495 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),97.8%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$1,650.00"
Fela Ransome Kuti & His Koola Lobitos – Fela Ransome Kuti & His Koola Lobitos,Parlophone – PNL 1002,Nigeria,"Vinyl, LP, Compilation","Made in Nigeria.

Fela's band went into a second phase of Koola Lobitos in May, 1965. The members included Tony Allen (drums), Ojo Okeji (bass), Yinka Roberts (guitar), Isaac Olasugba (sax), Tunde Williams (trumpet), Eddie Aroyewu (trumpet), Tex Becks and Uwaifo (tenor sax), Fred Lawal (guitar) et al. This is a compilation album of Koola Lobitos' singles and probably Fela Kuti's first LP.","Jazz, Folk, World, & Country",1968,Highlife,"Rated 4.50 of 12 votes (17 have, 367 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,nan,"$2,225.00"
Sonny Criss – Go Man,Imperial – LP 9020,US,"Vinyl, LP, Album, Mono","Recorded 28 November, 1956/ Deep Groove, maroon/silver",Jazz,1956,,"Rated 4.50 of 2 votes (25 have, 122 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.0%,nan,nan,"$1,437.50"
Guido Manusardi – Free Jazz,Electrecord – EDD 1196,Romania,"Vinyl, 10"", LP, Album, Mono","Recorded in 1967, released February 1968.

Yellow labels

Track durations are not listed on the cover.",Jazz,1968,Free Jazz,"Rated 5.00 of 6 votes (18 have, 159 want)",Mint (M),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,"$1,200.00"
Art Pepper – Meets The Rhythm Section,Contemporary Records – C 3532,US,"Vinyl, LP, Album, Mono","Recorded at Contemporary's Studio in Los Angeles, January 19, 1957

© 1957 by Contemporary Records

printed in USA",Jazz,1957,Bop,"Rated 4.53 of 36 votes (243 have, 459 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.6%,Contemporary's Studio,nan,"$1,249.99"
Mulatu Astatke – Mulatu In London,Amha Records – AE 120,Ethiopia,"Vinyl, 7"", 45 RPM",Made in India,"Jazz, Latin, Funk / Soul, Folk, World, & Country",1969,"African, Calypso, Latin Jazz","Rated 4.00 of 8 votes (13 have, 370 want)",Very Good (VG),Sleeve: Not Graded,100.0%,nan,nan,"$1,500.00"
Freddie Hubbard – Hub-Tones,Blue Note – BST 84115,US,"Vinyl, LP, Album, Stereo","Recorded on October 10, 1962.
First release has Blue Note Records Inc. New York USA on labels, a laminated front cover with 43West 61st St., New York 23 address on back cover, and ""ear"" symbol is stamped in the runout grooves.",Jazz,1962,Hard Bop,"Rated 4.92 of 12 votes (75 have, 310 want)",Very Good (VG),Sleeve: Good (G),99.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$2,225.00"
Doc Pomus – Naggin' Wife Blues / Alley Alley Blues,Apollo Records (2) – 401 R-1313 / R-1315,USA & Canada,"Vinyl, 10"", Mono",Extremely very rare record.,Jazz,1947,,"No Rating Yet (1 have, 1 want)",Very Good Plus (VG+),Sleeve: Not Graded,96.4%,nan,nan,"$15,000.00"
Piero Piccioni – Un Tentativo Sentimentale (Colonna Sonora Originale Del Film),CAM – Cms. 30-064,Italy,"Vinyl, LP, Album, Mono","Mono release.

Un Film di Pasquale Festa Campanile e Massimo Franciosa
con
Francoise Prevost
Jean Marc Bory
Leticia Roman
Giulio Bosetti
con la partecipazione straordinaria di
Barbara Steele
e con
Gabriele Ferzetti
Una coproduzione Italo-Francese
Franca Film - Roma
France Ciname Production - Parigi
Distribuzione Esclusiva DURIUM SPA - Milano
Made in Italy","Jazz, Stage & Screen",1963,"Soundtrack, Latin Jazz, Contemporary Jazz, Easy Listening","Rated 5.00 of 1 votes (19 have, 89 want)",Very Good (VG),Sleeve: Good Plus (G+),100.0%,nan,nan,"$1,500.00"
Colosseum – Valentyne Suite,Philips – SFX-7201,Japan,"Vinyl, LP, Album","Released in a gatefold sleeve.( ""A PHILIPS RECORDS PRODUCT"" also credited inside gatefold)

Recorded spring/summer 1969.","Jazz, Rock",1970,"Blues Rock, Psychedelic Rock","Rated 4.25 of 4 votes (15 have, 109 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),98.2%,nan,nan,"$1,200.00"
Dizzy Reece – Star Bright,Blue Note – BLP 4023,US,"Vinyl, LP, Album, Mono","Recorded on November 19, 1959.

Wynton Kelly and Paul Chambers performs by courtesy of Vee-Jay Records.
""RVG""-stamp in deadwax.",Jazz,1959,Hard Bop,"Rated 4.71 of 14 votes (92 have, 255 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,"$1,200.00"
Horace Parlan – Headin' South,Blue Note – BLP 4062,US,"Vinyl, LP, Album, Mono","Recorded on December 6, 1960.",Jazz,1961,"Afro-Cuban Jazz, Bop","Rated 4.42 of 19 votes (48 have, 342 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,"$1,250.00"
Hank Mobley – Mobley's Message,Prestige – PRLP 7061,US,"Vinyl, LP, Album","Recorded July 20, 1956.",Jazz,1956,Hard Bop,"Rated 4.50 of 14 votes (69 have, 373 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.","$1,500.00"
Kenny Dorham – Whistle Stop,Blue Note – BLP 4063,US,"Vinyl, LP, Album, Mono","Paul Chambers performs by courtesy of Vee-Jay Records, Philly Joe Jones performs by courtesy of Atlantic Recording Corp.

Recorded on January 15, 1961.",Jazz,1961,Hard Bop,"Rated 4.59 of 17 votes (127 have, 342 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.5%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,250.00"
Curtis Fuller – The Opener,Blue Note – BLP 1567,US,"Vinyl, LP, Album, Mono","Recorded on June 16, 1957.",Jazz,1957,Hard Bop,"Rated 4.50 of 16 votes (68 have, 387 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,"$1,400.00"
Rosemary Squires – My Love Is A Wanderer,MGM Records – E3597,US,"Vinyl, LP, Mono",Track lengths not listed on sleeve or label,Jazz,1957,Vocal,"Rated 5.00 of 2 votes (6 have, 38 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,nan,nan,"$1,200.00"
Charlie Parker And His Orchestra – Leap Frog,Mercury – 11076-X45,Canada,"Vinyl, 7"", 45 RPM","Recorded in New York City, June 6, 1950",Jazz,1950,Bop,"Rated 5.00 of 1 votes (7 have, 6 want)",Near Mint (NM or M-),Sleeve: Not Graded,94.4%,nan,nan,"$2,354.00"
Modern Jazz Workshop – Cool Sounds From Kansas City,Modern Jazz Workshop – MJW-101,US,"Vinyl, LP, Album","This is a live concert recording at ""The Jewish Community Center"" Kansas City, Mo. from 1958. The founders of the Kansas City ""Modern Jazz Workshop"" were Dean Stringer, Dick Fowler Jr. and later Kelly O'Neill replacing Dean.

This Lp marks Marilyn Maye's first recording performance.",Jazz,1958,"Easy Listening, Swing, Cool Jazz","Rated 4.00 of 4 votes (12 have, 9 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.0%,nan,nan,"$1,576.92"
